id,x,y,d,p
0,40,50,0,0
1,45,68,10,0
2,45,70,30,0
3,42,66,10,0
4,42,68,10,0
5,42,65,10,0
6,40,69,20,0
7,40,66,20,0
8,38,68,20,0
9,38,70,10,0
10,35,66,10,0
11,35,69,10,0
12,25,85,20,0
13,22,75,30,0
14,22,85,10,0
15,20,80,40,0
16,20,85,40,0
17,18,75,20,0
18,15,75,20,0
19,15,80,10,0
20,30,50,10,0
21,30,52,20,0
22,28,52,20,0
23,28,55,10,0
24,25,50,10,0
25,25,52,40,0
26,25,55,10,0
27,23,52,10,0
28,23,55,20,0
29,20,50,10,0
30,20,55,10,0
31,10,35,20,0
32,10,40,30,0
33,8,40,40,0
34,8,45,20,0
35,5,35,10,0
36,5,45,10,0
37,2,40,20,0
38,0,40,30,0
39,0,45,20,0
40,35,30,10,0
41,35,32,10,0
42,33,32,20,0
43,33,35,10,0
44,32,30,10,0
45,30,30,10,0
46,30,32,30,0
47,30,35,10,0
48,28,30,10,0
49,28,35,10,0
50,26,32,10,0
51,25,30,10,0
52,25,35,10,0
53,44,5,20,0
54,42,10,40,0
55,42,15,10,0
56,40,5,30,0
57,40,15,40,0
58,38,5,30,0
59,38,15,10,0
60,35,5,20,0
61,50,30,10,0
62,50,35,20,0
63,50,40,50,0
64,48,30,10,0
65,48,40,10,0
66,47,35,10,0
67,47,40,10,0
68,45,30,10,0
69,45,35,10,0
70,95,30,30,0
71,95,35,20,0
72,53,30,10,0
73,92,30,10,0
74,53,35,50,0
75,45,65,20,0
76,90,35,10,0
77,88,30,10,0
78,88,35,20,0
79,87,30,10,0
80,85,25,10,0
81,85,35,30,0
82,75,55,20,0
83,72,55,10,0
84,70,58,20,0
85,68,60,30,0
86,66,55,10,0
87,65,55,20,0
88,65,60,30,0
89,63,58,10,0
90,60,55,10,0
91,60,60,10,0
92,67,85,20,0
93,65,85,40,0
94,65,82,10,0
95,62,80,30,0
96,60,80,10,0
97,60,85,30,0
98,58,75,20,0
99,55,80,10,0
100,55,85,20,0
