id,x,y,d,p
0,150,150,7,4
1,96,40,6,5
2,175,276,7,7
3,36,34,7,4
4,200,52,2,4
5,128,150,2,4
6,279,34,5,2
7,34,164,4,5
8,20,265,6,3
9,138,147,5,4
10,167,147,2,8
11,14,287,4,2
12,148,200,6,4
13,197,292,2,6
14,16,87,5,5
15,141,43,7,1
16,100,127,7,8
17,77,116,4,9
18,135,81,6,5
19,39,207,5,4
20,26,195,7,8
21,163,268,5,2
22,220,177,6,7
23,58,115,4,0
24,268,9,2,6
25,136,242,3,9
26,77,222,7,8
27,266,162,7,7
28,164,88,2,3
29,50,287,5,2
30,28,50,9,5
31,68,143,6,5
32,1,207,7,7
33,172,87,4,5
34,36,199,5,3
35,158,87,5,3
36,226,116,5,4
37,12,3,7,9
38,111,58,1,5
39,273,266,5,4
40,204,273,6,6
41,52,241,8,5
42,99,68,7,4
43,44,18,5,3
44,201,97,3,6
45,53,101,2,3
46,259,40,11,8
47,0,282,5,3
48,214,77,6,7
49,90,214,5,2
50,156,98,7,3
51,274,193,4,10
52,121,138,5,11
53,177,239,8,3
54,32,204,5,5
55,183,196,5,3
56,286,77,5,4
57,103,62,7,8
58,212,91,7,3
59,129,0,8,6
60,143,159,6,3
61,160,151,3,4
62,5,149,6,5
63,214,13,5,5
64,255,112,3,1
65,250,138,8,6
66,98,38,4,5
67,70,93,7,7
68,288,85,6,6
69,240,160,4,4
70,127,17,7,5
71,250,118,8,7
72,67,9,2,7
73,252,149,4,7
74,247,87,3,3
75,110,241,8,8
76,109,49,4,3
77,220,267,1,8
78,89,285,3,9
79,9,163,6,7
80,73,27,8,7
81,65,286,3,5
82,263,71,8,1
83,4,241,3,2
84,184,167,4,3
85,96,122,2,4
86,286,36,4,6
87,99,155,5,4
88,266,82,3,3
89,160,82,10,10
90,239,296,3,5
91,130,118,5,4
92,5,209,4,7
93,202,44,6,2
94,156,35,7,4
95,31,108,10,1
96,27,133,6,1
97,253,115,5,4
98,111,278,8,4
99,274,194,6,5
100,93,89,6,2
101,150,195,8,8
102,86,9,6,4
103,76,174,4,6
104,140,251,4,8
105,21,156,6,7
106,60,157,6,3
107,139,259,0,5
108,281,216,4,2
109,78,173,8,6
110,256,52,3,5
111,160,112,4,6
112,89,284,5,6
113,111,71,3,7
114,146,265,8,5
115,121,226,4,9
116,178,212,3,7
117,80,278,3,6
118,126,267,5,6
119,237,21,9,7
120,39,168,8,8
121,265,213,4,6
122,221,186,6,6
123,156,106,2,4
124,178,129,4,3
125,173,42,6,4
126,195,138,6,6
127,27,277,4,3
128,286,157,7,5
129,60,99,6,3
130,271,279,2,5
131,260,12,6,6
132,128,161,1,7
133,187,23,6,2
134,217,29,6,8
135,198,38,9,5
136,115,97,6,6
137,3,176,6,3
138,110,154,6,5
139,67,115,6,8
140,189,19,4,4
141,11,29,7,5
142,165,36,3,5
143,144,78,6,4
144,112,15,3,4
145,150,215,5,4
146,120,258,12,6
147,186,281,4,5
148,254,111,7,5
149,294,63,3,5
150,88,154,5,7
151,271,63,3,6
152,282,117,6,8
153,72,286,7,6
154,287,161,4,5
155,161,171,7,6
156,275,101,3,7
157,201,293,6,7
158,182,269,2,7
159,220,296,8,3
160,182,283,5,3
161,155,124,4,4
162,189,266,5,11
163,262,24,5,9
164,155,103,7,2
165,43,210,5,6
166,241,60,2,6
167,176,294,7,6
168,233,186,6,3
169,170,67,6,5
170,24,85,3,5
171,162,261,5,8
172,109,8,9,5
173,104,254,5,8
174,299,118,3,7
175,264,91,7,2
176,54,88,7,4
177,89,211,9,3
178,172,85,5,8
179,29,275,10,1
180,233,150,8,4
181,284,77,3,5
182,291,263,0,2
183,44,113,4,5
184,26,215,5,3
185,152,164,2,3
186,2,131,4,3
187,146,240,6,7
188,122,293,8,6
189,11,111,7,3
190,230,108,6,3
191,150,78,4,6
192,79,152,9,6
193,48,260,5,4
194,211,129,5,3
195,51,295,4,4
196,179,102,6,7
197,111,225,8,9
198,245,264,7,6
199,239,272,6,8
200,43,213,5,7
201,76,253,3,3
202,124,22,5,5
203,158,220,8,4
204,299,91,2,6
205,212,253,8,5
206,94,126,3,2
207,64,118,4,9
208,113,283,2,4
209,42,300,3,9
210,288,163,6,2
211,156,201,7,5
212,133,176,6,7
213,197,101,9,8
214,80,129,2,6
215,129,58,2,3
216,180,147,2,5
217,45,257,2,1
218,232,252,5,4
219,83,125,5,5
220,196,121,6,6
221,258,66,3,5
222,278,170,5,7
223,140,229,5,3
224,40,11,6,6
225,278,14,5,4
226,56,7,3,5
227,295,30,2,1
228,82,115,5,3
229,240,250,8,6
230,261,214,4,6
231,163,223,7,5
232,238,215,4,4
233,196,166,6,2
234,58,21,4,5
235,289,224,6,7
236,166,31,4,8
237,82,150,6,7
238,116,233,1,0
239,212,147,1,8
240,193,269,4,4
241,63,215,7,5
242,146,102,7,4
243,215,294,8,8
244,51,104,4,5
245,104,263,4,5
246,217,34,8,3
247,190,292,6,6
248,95,9,6,7
249,184,43,5,4
250,114,186,7,3
251,166,160,5,3
252,23,153,2,5
253,259,149,4,7
254,295,263,2,5
255,118,207,5,7
256,284,262,4,8
257,223,15,5,2
258,152,50,3,6
259,222,232,4,8
260,82,92,8,1
261,87,209,6,6
262,108,291,6,6
263,182,109,4,7
264,31,239,2,5
265,198,75,2,0
266,15,36,8,6
267,267,114,6,4
268,233,32,1,7
269,78,175,5,7
270,4,124,4,1
271,206,41,4,3
272,102,191,7,4
273,103,291,6,5
274,128,248,8,7
275,112,57,2,5
276,266,73,5,2
277,122,202,5,7
278,201,287,5,8
279,207,104,7,4
280,105,161,6,8
281,24,174,5,7
282,250,115,4,3
283,231,205,6,5
284,214,244,6,7
285,41,200,5,9
286,123,199,5,5
287,289,47,7,4
288,182,241,5,6
289,42,281,6,6
290,189,110,4,0
291,296,184,7,6
292,147,236,3,5
293,134,217,2,3
294,104,128,2,4
295,8,275,5,5
296,188,59,6,5
297,238,235,3,4
298,60,17,7,2
299,189,122,5,8
300,214,111,6,5
301,288,235,4,4
302,85,84,6,3
303,222,166,3,4
304,18,24,3,7
305,70,260,6,4
306,142,177,1,3
307,294,6,7,7
308,140,108,5,3
309,189,76,3,3
310,188,36,4,5
311,162,153,4,4
312,252,161,9,7
313,261,138,3,8
314,234,100,7,1
315,272,181,7,1
316,135,206,5,3
317,114,252,8,5
318,253,42,6,7
319,248,134,5,6
320,193,0,4,7
321,32,3,1,8
322,281,287,6,6
323,63,279,4,6
324,13,213,4,6
325,125,25,4,5
326,278,296,6,6
327,150,169,4,4
328,41,266,5,8
329,282,184,6,4
330,292,137,5,4
331,222,243,7,8
332,245,18,1,6
333,195,128,1,4
334,48,279,4,5
335,168,213,4,9
336,178,276,6,5
337,154,272,7,8
338,112,296,1,8
339,89,155,5,8
340,239,230,5,7
341,161,131,7,3
342,212,226,8,3
343,256,21,7,7
344,257,3,1,5
345,158,83,6,5
346,79,201,5,8
347,58,132,10,4
348,50,225,6,6
349,284,205,6,4
350,227,122,9,5
351,38,53,7,4
352,294,26,6,3
353,64,235,4,6
354,187,298,6,1
355,175,128,7,5
356,61,215,6,7
357,73,29,11,2
358,226,70,7,7
359,299,264,8,7
360,11,232,6,3
361,185,226,5,5
362,238,138,6,2
363,122,185,4,3
364,27,133,8,4
365,174,23,2,3
366,171,290,3,3
367,284,222,3,4
368,249,200,5,7
369,119,220,4,8
370,274,226,4,6
371,289,181,8,3
372,259,116,7,5
373,249,87,3,6
374,85,74,5,2
375,235,122,6,6
376,125,39,4,5
377,201,137,6,6
378,174,10,7,5
379,40,79,2,3
380,290,257,7,7
381,203,155,7,6
382,259,257,3,3
383,240,218,2,3
384,119,251,2,5
385,230,70,7,10
386,95,267,5,1
387,110,208,6,3
388,260,213,1,8
389,90,188,8,3
390,139,212,4,6
391,147,263,1,3
392,240,140,4,4
393,183,71,4,7
394,258,170,6,5
395,19,204,7,6
396,290,95,4,6
397,89,189,2,5
398,155,164,8,5
399,94,111,5,6
400,50,186,6,2
401,238,190,8,5
402,127,84,7,7
403,91,78,5,5
404,221,203,8,4
405,85,139,6,4
406,255,10,3,6
407,169,243,4,5
408,133,269,3,4
409,279,203,3,4
410,176,60,5,3
411,69,164,7,8
412,91,300,10,7
413,142,246,6,5
414,210,84,6,4
415,0,221,11,4
416,121,83,3,6
417,231,131,4,6
418,204,125,5,1
419,42,299,8,6
420,45,230,6,4
421,287,277,3,6
