id,x,y,d,p,,,,
0,150,150,0,4,,,,
1,96,40,0,5,,,,
2,175,276,0,7,,,,
3,36,34,0,4,,,,
4,200,52,0,4,,,,
5,128,150,0,4,,,,381
6,279,34,0,2,,,,123
7,34,164,0,5,,,,
8,20,265,0,3,,,,
9,138,147,0,4,,,,
10,167,147,0,8,,,,
11,14,287,0,2,,,,
12,148,200,0,4,,,,
13,197,292,0,6,,,,
14,16,87,0,5,,,,
15,141,43,0,1,,,,
16,100,127,0,8,,,,
17,77,116,0,9,,,,
18,135,81,0,5,,,,
19,39,207,0,4,,,,
20,26,195,0,8,,,,
21,163,268,0,2,,,,
22,220,177,0,7,,,,
23,58,115,4,0,,,,
24,268,9,2,0,,,,
25,136,242,3,0,,,,
26,77,222,7,0,,,,
27,266,162,7,0,,,,
28,164,88,2,0,,,,
29,50,287,5,0,,,,
30,28,50,2,0,,,,
31,68,143,6,0,,,,
32,1,207,7,0,,,,
33,172,87,4,0,,,,
34,36,199,5,0,,,,
35,158,87,5,0,,,,
36,226,116,5,0,,,,
37,12,3,7,0,,,,
38,111,58,1,0,,,,
39,273,266,5,0,,,,
40,204,273,7,0,,,,
41,52,241,8,0,,,,
42,99,68,7,0,,,,
43,44,18,5,0,,,,
44,201,97,3,0,,,,
45,53,101,2,0,,,,
46,259,40,3,0,,,,
47,0,282,5,0,,,,
48,214,77,6,0,,,,
49,90,214,5,0,,,,
50,156,98,7,0,,,,
51,274,193,4,0,,,,
52,121,138,1,0,,,,
53,177,239,3,0,,,,
54,32,204,6,0,,,,
55,183,196,8,0,,,,
56,286,77,3,0,,,,
57,103,62,8,0,,,,
58,212,91,3,0,,,,
59,129,0,4,0,,,,
60,143,159,2,0,,,,
61,160,151,4,0,,,,
62,5,149,5,0,,,,
63,214,13,3,0,,,,
64,255,112,5,0,,,,
65,250,138,3,0,,,,
66,98,38,5,0,,,,
67,70,93,4,0,,,,
68,288,85,6,0,,,,
69,240,160,7,0,,,,
70,127,17,10,0,,,,
71,250,118,6,0,,,,
72,67,9,5,6,,,,
73,252,149,8,5,,,,
74,247,87,4,1,,,,
75,110,241,4,0,,,,
76,109,49,4,0,,,,
77,220,267,1,0,,,,
78,89,285,3,0,,,,
79,9,163,6,0,,,,
80,73,27,8,0,,,,
81,65,286,3,0,,,,
82,263,71,8,0,,,,
83,4,241,3,0,,,,
84,184,167,4,0,,,,
85,96,122,2,0,,,,
86,286,36,4,0,,,,
87,99,155,5,0,,,,
88,266,82,3,0,,,,
89,160,82,5,0,,,,
90,239,296,3,0,,,,
91,130,118,5,0,,,,
92,5,209,4,0,,,,
93,202,44,6,0,,,,
94,156,35,7,0,,,,
95,31,108,10,0,,,,
96,27,133,6,0,,,,
97,253,115,5,0,,,,
98,111,278,8,0,,,,
99,274,194,6,0,,,,
100,93,89,6,0,,,,
