id,x,y,d,p,,
0,150,150,7,4,,
1,96,40,6,5,,2047
2,175,276,7,7,,2028
3,36,34,7,4,,
4,200,52,2,4,,
5,128,150,2,4,,
6,279,34,5,2,,
7,34,164,4,5,,
8,20,265,6,3,,
9,138,147,5,4,,
10,167,147,2,8,,
11,14,287,4,2,,
12,148,200,6,4,,
13,197,292,2,6,,
14,16,87,5,5,,
15,141,43,7,1,,
16,100,127,7,8,,
17,77,116,4,9,,
18,135,81,6,5,,
19,39,207,5,4,,
20,26,195,7,8,,
21,163,268,5,2,,
22,220,177,6,7,,
23,58,115,4,0,,
24,268,9,2,6,,
25,136,242,3,9,,
26,77,222,7,8,,
27,266,162,7,7,,
28,164,88,2,3,,
29,50,287,5,2,,
30,28,50,9,5,,
31,68,143,6,5,,
32,1,207,7,7,,
33,172,87,4,5,,
34,36,199,5,3,,
35,158,87,5,3,,
36,226,116,5,4,,
37,12,3,7,9,,
38,111,58,1,5,,
39,273,266,5,4,,
40,204,273,6,6,,
41,52,241,8,5,,
42,99,68,7,4,,
43,44,18,5,3,,
44,201,97,3,6,,
45,53,101,2,3,,
46,259,40,11,8,,
47,0,282,5,3,,
48,214,77,6,7,,
49,90,214,5,2,,
50,156,98,7,3,,
51,274,193,4,10,,
52,121,138,5,11,,
53,177,239,8,3,,
54,32,204,5,5,,
55,183,196,5,3,,
56,286,77,5,4,,
57,103,62,7,8,,
58,212,91,7,3,,
59,129,0,8,6,,
60,143,159,6,3,,
61,160,151,3,4,,
62,5,149,6,5,,
63,214,13,5,5,,
64,255,112,3,1,,
65,250,138,8,6,,
66,98,38,4,5,,
67,70,93,7,7,,
68,288,85,6,6,,
69,240,160,4,4,,
70,127,17,7,5,,
71,250,118,8,7,,
72,67,9,2,7,,
73,252,149,4,7,,
74,247,87,3,3,,
75,110,241,8,8,,
76,109,49,4,3,,
77,220,267,1,8,,
78,89,285,3,9,,
79,9,163,6,7,,
80,73,27,8,7,,
81,65,286,3,5,,
82,263,71,8,1,,
83,4,241,3,2,,
84,184,167,4,3,,
85,96,122,2,4,,
86,286,36,4,6,,
87,99,155,5,4,,
88,266,82,3,3,,
89,160,82,10,10,,
90,239,296,3,5,,
91,130,118,5,4,,
92,5,209,4,7,,
93,202,44,6,2,,
94,156,35,7,4,,
95,31,108,10,1,,
96,27,133,6,1,,
97,253,115,5,4,,
98,111,278,8,4,,
99,274,194,6,5,,
100,93,89,6,2,,
101,150,195,8,8,,
102,86,9,6,4,,
103,76,174,4,6,,
104,140,251,4,8,,
105,21,156,6,7,,
106,60,157,6,3,,
107,139,259,0,5,,
108,281,216,4,2,,
109,78,173,8,6,,
110,256,52,3,5,,
111,160,112,4,6,,
112,89,284,5,6,,
113,111,71,3,7,,
114,146,265,8,5,,
115,121,226,4,9,,
116,178,212,3,7,,
117,80,278,3,6,,
118,126,267,5,6,,
119,237,21,9,7,,
120,39,168,8,8,,
121,265,213,4,6,,
122,221,186,6,6,,
123,156,106,2,4,,
124,178,129,4,3,,
125,173,42,6,4,,
126,195,138,6,6,,
127,27,277,4,3,,
128,286,157,7,5,,
129,60,99,6,3,,
130,271,279,2,5,,
131,260,12,6,6,,
132,128,161,1,7,,
