id,x,y,d,p
0,150,150,7,0
1,96,40,6,0
2,175,276,7,0
3,36,34,7,0
4,200,52,2,0
5,128,150,2,0
6,279,34,5,0
7,34,164,4,0
8,20,265,6,0
9,138,147,5,0
10,167,147,2,0
11,14,287,4,0
12,148,200,6,0
13,197,292,2,0
14,16,87,5,0
15,141,43,7,0
16,100,127,7,0
17,77,116,4,0
18,135,81,6,0
19,39,207,5,0
20,26,195,7,0
21,163,268,5,0
22,220,177,6,0
23,58,115,4,0
24,268,9,2,0
25,136,242,3,0
26,77,222,7,0
27,266,162,7,0
28,164,88,2,0
29,50,287,5,0
30,28,50,9,0
31,68,143,6,0
32,1,207,7,0
33,172,87,4,0
34,36,199,5,0
35,158,87,5,0
36,226,116,5,0
37,12,3,7,0
38,111,58,1,0
39,273,266,5,0
40,204,273,6,0
41,52,241,8,0
42,99,68,7,0
43,44,18,5,0
44,201,97,3,0
45,53,101,2,0
46,259,40,11,0
47,0,282,5,0
48,214,77,6,0
49,90,214,5,0
50,156,98,7,0
51,274,193,4,0
52,121,138,5,0
53,177,239,8,0
54,32,204,5,0
55,183,196,5,0
56,286,77,5,0
57,103,62,7,0
58,212,91,7,0
59,129,0,8,0
60,143,159,6,0
61,160,151,3,0
62,5,149,6,0
63,214,13,5,0
64,255,112,3,0
65,250,138,8,0
66,98,38,4,0
67,70,93,7,0
68,288,85,6,0
69,240,160,4,0
70,127,17,7,0
71,250,118,8,0
72,67,9,2,0
73,252,149,4,0
74,247,87,3,0
75,110,241,8,0
76,109,49,4,0
77,220,267,1,0
78,89,285,3,0
79,9,163,6,0
80,73,27,8,0
81,65,286,3,0
82,263,71,8,0
83,4,241,3,0
84,184,167,4,0
85,96,122,2,0
86,286,36,4,0
87,99,155,5,0
88,266,82,3,0
89,160,82,10,0
90,239,296,3,0
91,130,118,5,0
92,5,209,4,0
93,202,44,6,0
94,156,35,7,0
95,31,108,10,0
96,27,133,6,0
97,253,115,5,0
98,111,278,8,0
99,274,194,6,0
100,93,89,6,0
101,150,195,8,0
102,86,9,6,0
103,76,174,4,0
104,140,251,4,0
105,21,156,6,0
106,60,157,6,0
107,139,259,0,0
108,281,216,4,0
109,78,173,8,0
110,256,52,3,0
111,160,112,4,0
112,89,284,5,0
113,111,71,3,0
114,146,265,8,0
115,121,226,4,0
116,178,212,3,0
117,80,278,3,0
118,126,267,5,0
119,237,21,9,0
120,39,168,8,0
121,265,213,4,0
122,221,186,6,0
123,156,106,2,0
124,178,129,4,0
125,173,42,6,0
126,195,138,6,0
127,27,277,4,0
128,286,157,7,0
129,60,99,6,0
130,271,279,2,0
131,260,12,6,0
132,128,161,1,0
133,187,23,6,0
134,217,29,6,0
135,198,38,9,0
136,115,97,6,0
137,3,176,6,0
138,110,154,6,0
139,67,115,6,0
140,189,19,4,0
141,11,29,7,0
142,165,36,3,0
143,144,78,6,0
144,112,15,3,0
145,150,215,5,0
146,120,258,12,0
147,186,281,4,0
148,254,111,7,0
149,294,63,3,0
150,88,154,5,0
151,271,63,3,0
152,282,117,6,0
153,72,286,7,0
154,287,161,4,0
155,161,171,7,0
156,275,101,3,0
157,201,293,6,0
158,182,269,2,0
159,220,296,8,0
160,182,283,5,0
161,155,124,4,0
162,189,266,5,0
163,262,24,5,0
164,155,103,7,0
165,43,210,5,0
166,241,60,2,0
167,176,294,7,0
168,233,186,6,0
169,170,67,6,0
170,24,85,3,0
171,162,261,5,0
172,109,8,9,0
173,104,254,5,0
174,299,118,3,0
175,264,91,7,0
176,54,88,7,0
177,89,211,9,0
178,172,85,5,0
179,29,275,10,0
180,233,150,8,0
181,284,77,3,0
182,291,263,0,0
183,44,113,4,0
184,26,215,5,0
185,152,164,2,0
186,2,131,4,0
187,146,240,6,0
188,122,293,8,0
189,11,111,7,0
190,230,108,6,0
191,150,78,4,0
192,79,152,9,0
193,48,260,5,0
194,211,129,5,0
195,51,295,4,0
196,179,102,6,0
197,111,225,8,0
198,245,264,7,0
199,239,272,6,0
200,43,213,5,0
201,76,253,3,0
202,124,22,5,0
203,158,220,8,0
204,299,91,2,0
205,212,253,8,0
206,94,126,3,0
207,64,118,4,0
208,113,283,2,0
209,42,300,3,0
210,288,163,6,0
211,156,201,7,0
212,133,176,6,0
213,197,101,9,0
214,80,129,2,0
215,129,58,2,0
216,180,147,2,0
217,45,257,2,0
218,232,252,5,0
219,83,125,5,0
220,196,121,6,0
221,258,66,3,0
222,278,170,5,0
223,140,229,5,0
224,40,11,6,0
225,278,14,5,0
226,56,7,3,0
227,295,30,2,0
228,82,115,5,0
229,240,250,8,0
230,261,214,4,0
231,163,223,7,0
232,238,215,4,0
233,196,166,6,0
234,58,21,4,0
235,289,224,6,0
236,166,31,4,0
237,82,150,6,0
238,116,233,1,0
239,212,147,1,0
240,193,269,4,0
241,63,215,7,0
242,146,102,7,0
243,215,294,8,0
244,51,104,4,0
245,104,263,4,0
246,217,34,8,0
247,190,292,6,0
248,95,9,6,0
249,184,43,5,0
250,114,186,7,0
251,166,160,5,0
252,23,153,2,0
253,259,149,4,0
254,295,263,2,0
255,118,207,5,0
256,284,262,4,0
257,223,15,5,0
258,152,50,3,0
259,222,232,4,0
260,82,92,8,0
261,87,209,6,0
262,108,291,6,0
263,182,109,4,0
264,31,239,2,0
265,198,75,2,0
266,15,36,8,0
267,267,114,6,0
268,233,32,1,0
269,78,175,5,0
270,4,124,4,0
271,206,41,4,0
272,102,191,7,0
273,103,291,6,0
274,128,248,8,0
275,112,57,2,0
276,266,73,5,0
277,122,202,5,0
278,201,287,5,0
279,207,104,7,0
280,105,161,6,0
281,24,174,5,0
282,250,115,4,0
283,231,205,6,0
284,214,244,6,0
285,41,200,5,0
286,123,199,5,0
287,289,47,7,0
288,182,241,5,0
289,42,281,6,0
290,189,110,4,0
291,296,184,7,0
292,147,236,3,0
293,134,217,2,0
294,104,128,2,0
295,8,275,5,0
296,188,59,6,0
297,238,235,3,0
298,60,17,7,0
299,189,122,5,0
300,214,111,6,5
301,288,235,0,4
302,85,84,0,3
303,222,166,0,4
304,18,24,0,7
305,70,260,0,4
306,142,177,0,3
307,294,6,0,7
308,140,108,0,3
309,189,76,0,3
310,188,36,0,5
311,162,153,0,4
312,252,161,0,7
313,261,138,0,8
314,234,100,0,1
315,272,181,0,1
316,135,206,0,3
317,114,252,0,5
318,253,42,0,7
319,248,134,0,6
320,193,0,0,7
321,32,3,0,8
322,281,287,0,6
323,63,279,0,6
324,13,213,0,6
325,125,25,0,5
326,278,296,0,6
327,150,169,0,4
328,41,266,0,8
329,282,184,0,4
330,292,137,0,4
331,222,243,0,8
332,245,18,0,6
333,195,128,0,4
334,48,279,0,5
335,168,213,0,9
336,178,276,0,5
337,154,272,0,8
338,112,296,0,8
339,89,155,0,8
340,239,230,0,7
341,161,131,0,3
342,212,226,0,3
343,256,21,0,7
344,257,3,0,5
345,158,83,0,5
346,79,201,0,8
347,58,132,0,4
348,50,225,0,6
349,284,205,0,4
350,227,122,0,5
351,38,53,0,4
352,294,26,0,3
353,64,235,0,6
354,187,298,0,1
355,175,128,0,5
356,61,215,0,7
357,73,29,0,2
358,226,70,0,7
359,299,264,0,7
360,11,232,0,3
361,185,226,0,5
362,238,138,0,2
363,122,185,0,3
364,27,133,0,4
365,174,23,0,3
366,171,290,0,3
367,284,222,0,4
368,249,200,0,7
369,119,220,0,8
370,274,226,0,6
371,289,181,0,3
372,259,116,0,5
