id,x,y,d,p
0,15,15,7,4
1,9.6,4,6,5
2,17.5,27.6,7,7
3,3.6,3.4,7,4
4,20,5.2,2,4
5,12.8,15,2,4
6,27.9,3.4,5,2
7,3.4,16.4,4,5
8,2,26.5,6,3
9,13.8,14.7,5,4
10,16.7,14.7,2,8
11,1.4,28.7,0,2
12,14.8,20,0,4
13,19.7,29.2,0,6
14,1.6,8.7,0,5
15,14.1,4.3,0,1
16,10,12.7,0,8
17,7.7,11.6,0,9
18,13.5,8.1,0,5
19,3.9,20.7,0,4
20,2.6,19.5,0,8
21,16.3,26.8,0,2
22,22,17.7,0,7
23,5.8,11.5,0,0
24,26.8,0.9,0,6
25,13.6,24.2,0,9
26,7.7,22.2,0,8
27,26.6,16.2,0,7
28,16.4,8.8,0,3
29,5,28.7,0,2
30,2.8,5,0,5
31,6.8,14.3,0,5
32,0.1,20.7,0,7
33,17.2,8.7,0,5
34,3.6,19.9,0,3
35,15.8,8.7,0,3
36,22.6,11.6,0,4
37,1.2,0.3,0,9
38,11.1,5.8,0,5
39,27.3,26.6,0,4
40,20.4,27.3,0,6
41,5.2,24.1,0,5
42,9.9,6.8,0,4
43,4.4,1.8,0,3
44,20.1,9.7,0,6
45,5.3,10.1,0,3
46,25.9,4,0,8
47,0,28.2,0,3
48,21.4,7.7,0,7
49,9,21.4,0,2
50,15.6,9.8,0,3
51,27.4,19.3,0,10
52,12.1,13.8,0,3
53,17.7,23.9,0,3
54,3.2,20.4,0,5
55,18.3,19.6,0,3
56,28.6,7.7,0,4
57,10.3,6.2,0,8
58,21.2,9.1,0,3
59,12.9,0,0,6
60,14.3,15.9,0,3
61,16,15.1,3,0
62,0.5,14.9,6,0
63,21.4,1.3,5,0
64,25.5,11.2,3,0
65,25,13.8,8,0
66,9.8,3.8,4,0
67,7,9.3,7,0
68,28.8,8.5,6,0
69,24,16,4,0
70,12.7,1.7,7,0
71,25,11.8,8,0
72,6.7,0.9,2,0
73,25.2,14.9,4,0
74,24.7,8.7,3,0
75,11,24.1,8,0
76,10.9,4.9,4,0
77,22,26.7,1,0
78,8.9,28.5,3,0
79,0.9,16.3,6,0
80,7.3,2.7,8,0
81,6.5,28.6,3,0
82,26.3,7.1,8,0
83,0.4,24.1,3,0
84,18.4,16.7,4,0
85,9.6,12.2,2,0
86,28.6,3.6,4,0
87,9.9,15.5,5,0
88,26.6,8.2,3,0
89,16,8.2,5,0
90,23.9,29.6,3,0
91,13,11.8,5,0
92,0.5,20.9,4,0
93,20.2,4.4,6,0
94,15.6,3.5,7,0
95,3.1,10.8,10,0
96,2.7,13.3,6,0
97,25.3,11.5,5,0
98,11.1,27.8,8,0
99,27.4,19.4,6,0
100,9.3,8.9,6,0
101,15,19.5,3,0
102,8.6,0.9,6,0
103,7.6,17.4,7,0
104,14,25.1,4,0
105,2.1,15.6,7,0
106,6,15.7,3,0
107,13.9,25.9,6,0
108,28.1,21.6,2,0
109,7.8,17.3,8,0
110,25.6,5.2,5,0
111,16,11.2,4,0
112,8.9,28.4,5,0
113,11.1,7.1,5,0
114,14.6,26.5,7,0
115,12.1,22.6,5,0
116,17.8,21.2,2,0
117,8,27.8,7,0
118,12.6,26.7,6,0
119,23.7,2.1,6,0
120,3.9,16.8,3,0
121,26.5,21.3,5,0
122,22.1,18.6,3,0
123,15.6,10.6,5,0
124,17.8,12.9,3,0
125,17.3,4.2,7,0
126,19.5,13.8,7,0
127,2.7,27.7,9,0
128,28.6,15.7,5,0
129,6,9.9,2,0
130,27.1,27.9,8,0
131,26,1.2,3,0
132,12.8,16.1,0,0
133,18.7,2.3,4,0
134,21.7,2.9,5,0
135,19.8,3.8,2,0
136,11.5,9.7,4,0
137,0.3,17.6,6,0
138,11,15.4,2,0
139,6.7,11.5,7,0
140,18.9,1.9,6,0
141,1.1,2.9,4,0
142,16.5,3.6,9,0
143,14.4,7.8,5,0
144,11.2,1.5,5,0
145,15,21.5,4,0
146,12,25.8,6,0
147,18.6,28.1,8,0
148,25.4,11.1,7,0
149,29.4,6.3,6,0
150,8.8,15.4,5,0
151,27.1,6.3,3,0
152,28.2,11.7,6,0
153,7.2,28.6,7,0
154,28.7,16.1,4,0
155,16.1,17.1,7,0
156,27.5,10.1,3,0
157,20.1,29.3,6,0
158,18.2,26.9,2,0
159,22,29.6,8,0
160,18.2,28.3,5,0
161,15.5,12.4,4,0
162,18.9,26.6,5,0
163,26.2,2.4,5,0
164,15.5,10.3,7,0
165,4.3,21,5,0
166,24.1,6,2,0
167,17.6,29.4,7,0
168,23.3,18.6,6,0
169,17,6.7,6,0
170,2.4,8.5,3,0
171,16.2,26.1,5,0
172,10.9,0.8,3,0
173,10.4,25.4,5,0
174,29.9,11.8,3,0
175,26.4,9.1,7,0
176,5.4,8.8,7,0
177,8.9,21.1,9,0
178,17.2,8.5,5,0
179,2.9,27.5,2,0
180,23.3,15,8,0
181,28.4,7.7,3,0
182,29.1,26.3,0,0
183,4.4,11.3,4,0
184,2.6,21.5,5,0
185,15.2,16.4,2,0
186,0.2,13.1,4,0
187,14.6,24,6,0
188,12.2,29.3,2,0
189,1.1,11.1,7,0
190,23,10.8,6,0
191,15,7.8,4,0
192,7.9,15.2,9,0
193,4.8,26,5,0
194,21.1,12.9,5,0
195,5.1,29.5,4,0
196,17.9,10.2,6,0
197,11.1,22.5,8,0
198,24.5,26.4,7,0
199,23.9,27.2,6,0
200,4.3,21.3,5,0
