id,x,y,d,p
0,15,15,0,0
1,9.6,4,6,5
2,17.5,27.6,7,7
3,3.6,3.4,7,4
4,20,5.2,2,4
5,12.8,15,2,4
6,27.9,3.4,5,2
7,3.4,16.4,4,5
8,2,26.5,6,3
9,13.8,14.7,5,4
10,16.7,14.7,2,8
11,1.4,28.7,0,2
12,14.8,20,0,4
13,19.7,29.2,0,6
14,1.6,8.7,0,5
15,14.1,4.3,0,1
16,10,12.7,0,8
17,7.7,11.6,0,9
18,13.5,8.1,0,5
19,3.9,20.7,0,4
20,2.6,19.5,0,8
21,16.3,26.8,0,2
22,22,17.7,0,7
23,5.8,11.5,0,0
24,26.8,0.9,0,6
25,13.6,24.2,0,9
26,7.7,22.2,0,8
27,26.6,16.2,0,7
28,16.4,8.8,0,3
29,5,28.7,0,2
30,2.8,5,0,5
31,6.8,14.3,0,5
32,0.1,20.7,0,7
33,17.2,8.7,0,5
34,3.6,19.9,0,3
35,15.8,8.7,0,3
36,22.6,11.6,0,4
37,1.2,0.3,0,9
38,11.1,5.8,0,5
39,27.3,26.6,0,4
40,20.4,27.3,0,6
41,5.2,24.1,3,0
42,9.9,6.8,6,0
43,4.4,1.8,5,0
44,20.1,9.7,3,0
45,5.3,10.1,8,0
46,25.9,4,4,0
47,0,28.2,7,0
48,21.4,7.7,6,0
49,9,21.4,4,0
50,15.6,9.8,7,0
51,27.4,19.3,8,0
52,12.1,13.8,2,0
53,17.7,23.9,4,0
54,3.2,20.4,3,0
55,18.3,19.6,8,0
56,28.6,7.7,4,0
57,10.3,6.2,1,0
58,21.2,9.1,3,0
59,12.9,0,6,0
60,14.3,15.9,8,0
61,16,15.1,3,0
62,0.5,14.9,8,0
63,21.4,1.3,3,0
64,25.5,11.2,4,0
65,25,13.8,2,0
66,9.8,3.8,4,0
67,7,9.3,5,0
68,28.8,8.5,3,0
69,24,16,5,0
70,12.7,1.7,3,0
71,25,11.8,5,0
72,6.7,0.9,4,0
73,25.2,14.9,6,0
74,24.7,8.7,7,0
75,11,24.1,10,0
76,10.9,4.9,6,0
77,22,26.7,5,0
78,8.9,28.5,8,0
79,0.9,16.3,6,0
80,7.3,2.7,6,0
81,6.5,28.6,3,0
82,26.3,7.1,6,0
83,0.4,24.1,7,0
84,18.4,16.7,4,0
85,9.6,12.2,7,0
86,28.6,3.6,3,0
87,9.9,15.5,6,0
88,26.6,8.2,2,0
89,16,8.2,8,0
90,23.9,29.6,5,0
91,13,11.8,4,0
92,0.5,20.9,5,0
93,20.2,4.4,5,0
94,15.6,3.5,7,0
95,3.1,10.8,5,0
96,2.7,13.3,2,0
97,25.3,11.5,7,0
98,11.1,27.8,6,0
99,27.4,19.4,6,0
100,9.3,8.9,3,0
